Run;JS;WASM;
1;145;34;
2;114;33;
3;113;33;
4;113;33;
5;118;34;
6;112;33;
7;112;34;
8;112;33;
9;113;33;
10;113;33;
11;114;34;
12;112;34;
13;111;34;
14;112;32;
15;113;34;
16;111;33;
17;111;34;
18;112;33;
19;116;33;
20;113;34;
21;113;34;
22;113;33;
23;112;34;
24;112;33;
25;113;34;
26;113;34;
27;112;34;
28;113;34;
29;114;33;
30;113;33;
31;114;33;
32;112;34;
33;113;33;
34;113;34;
35;125;33;
36;124;34;
37;113;33;
38;112;33;
39;113;33;
40;113;34;
41;113;33;
42;112;35;
43;113;34;
44;113;33;
45;113;34;
46;114;34;
47;112;34;
48;112;34;
49;113;38;
50;114;34;
51;114;36;
52;114;33;
53;114;36;
54;114;34;
55;113;36;
56;115;33;
57;111;35;
58;112;34;
59;139;34;
60;111;34;
61;113;34;
62;112;34;
63;113;35;
64;113;35;
65;112;34;
66;113;34;
67;113;34;
68;112;35;
69;113;34;
70;112;35;
71;113;34;
72;124;35;
73;113;35;
74;112;35;
75;111;35;
76;114;34;
77;112;35;
78;111;35;
79;112;35;
80;112;35;
81;112;35;
82;112;35;
83;113;34;
84;113;34;
85;115;35;
86;112;37;
87;112;36;
88;114;34;
89;112;35;
90;112;41;
91;126;36;
92;112;35;
93;115;35;
94;113;34;
95;112;35;
96;112;35;
97;113;35;
98;112;36;
99;114;34;
100;113;36;
101;112;35;
102;111;36;
103;115;35;
104;113;36;
105;112;34;
106;113;35;
107;111;34;
108;114;34;
109;112;35;
110;112;35;
111;113;36;
112;112;35;
113;113;34;
114;114;34;
115;122;35;
116;113;34;
117;112;35;
118;112;35;
119;112;35;
120;124;34;
121;111;35;
122;112;34;
123;112;35;
124;113;33;
125;113;38;
126;114;34;
127;113;34;
128;114;34;
129;114;34;
130;113;35;
131;116;34;
132;114;35;
133;112;35;
134;112;35;
135;113;34;
136;113;35;
137;114;33;
138;114;36;
139;115;34;
140;113;36;
141;123;34;
142;113;33;
143;112;34;
144;112;35;
145;113;34;
146;112;34;
147;113;34;
148;113;34;
149;112;33;
150;112;34;
151;112;34;
152;112;33;
153;113;34;
154;114;35;
155;115;33;
156;115;34;
157;114;35;
158;115;32;
159;115;34;
160;115;33;
161;114;33;
162;112;34;
163;113;34;
164;113;34;
165;113;33;
166;115;33;
167;119;34;
168;114;35;
169;112;33;
170;114;34;
171;115;34;
172;113;34;
173;114;33;
174;114;34;
175;113;34;
176;114;34;
177;115;34;
178;114;34;
179;113;34;
180;115;33;
181;112;34;
182;114;34;
183;114;33;
184;114;34;
185;114;34;
186;115;35;
187;115;33;
188;116;33;
189;114;34;
190;115;33;
191;115;35;
192;115;34;
193;115;35;
194;115;34;
195;116;36;
196;116;34;
197;116;34;
198;116;34;
199;116;34;
200;115;34;
201;115;35;
202;115;35;
203;116;35;
204;116;36;
205;115;47;
206;115;35;
207;115;35;
208;115;35;
209;115;34;
210;115;34;
211;116;34;
212;116;34;
213;115;34;
214;116;33;
215;116;34;
216;116;34;
217;116;34;
218;115;34;
219;117;34;
220;117;33;
221;116;34;
222;126;33;
223;115;34;
224;116;34;
225;116;34;
226;116;34;
227;116;34;
228;117;33;
229;115;34;
230;111;34;
231;112;33;
232;113;33;
233;112;33;
234;112;34;
235;122;32;
236;112;34;
237;111;34;
238;110;34;
239;111;33;
240;112;33;
241;111;33;
242;112;33;
243;112;33;
244;111;43;
245;112;33;
246;112;32;
247;112;33;
248;112;33;
249;112;33;
250;113;33;
251;113;33;
252;113;33;
253;111;34;
254;111;35;
255;112;33;
256;112;34;
257;112;34;
258;112;34;
259;123;34;
260;112;34;
261;113;33;
262;113;33;
263;112;34;
264;113;34;
265;113;34;
266;113;34;
267;112;34;
268;113;34;
269;112;33;
270;112;34;
271;114;34;
272;111;34;
273;111;34;
274;112;34;
275;112;34;
276;112;34;
277;115;34;
278;115;34;
279;116;35;
280;115;35;
281;115;35;
282;115;34;
283;119;35;
284;112;34;
285;112;33;
286;113;34;
287;112;34;
288;112;33;
289;113;34;
290;115;34;
291;117;35;
292;116;34;
293;124;34;
294;116;34;
295;116;34;
296;116;34;
297;112;34;
298;112;34;
299;111;34;
300;112;34;
301;112;33;
302;112;34;
303;112;34;
304;111;35;
305;112;33;
306;111;35;
307;112;34;
308;111;34;
309;112;34;
310;113;33;
311;124;34;
312;111;34;
313;112;34;
314;112;35;
315;112;33;
316;112;34;
317;112;33;
318;112;33;
319;113;33;
320;112;33;
321;112;33;
322;121;34;
323;112;35;
324;112;34;
325;114;34;
326;117;35;
327;119;35;
328;118;34;
329;127;34;
330;126;35;
331;118;34;
332;117;34;
333;118;35;
334;118;34;
335;117;34;
336;117;35;
337;117;35;
338;118;34;
339;118;34;
340;117;35;
341;116;35;
342;116;35;
343;116;35;
344;118;34;
345;118;34;
346;117;35;
347;125;34;
348;117;34;
349;116;34;
350;117;34;
351;118;35;
352;118;35;
353;117;35;
354;117;34;
355;118;35;
356;117;35;
357;125;34;
358;118;35;
359;117;34;
360;111;44;
