Run;JS;WASM;
1;35;45;
2;33;34;
3;33;34;
4;33;34;
5;33;36;
6;34;33;
7;33;34;
8;34;35;
9;35;34;
10;34;33;
11;34;34;
12;35;34;
13;35;34;
14;34;34;
15;34;34;
16;33;34;
17;34;33;
18;34;33;
19;34;35;
20;33;48;
21;34;33;
22;33;34;
23;33;34;
24;34;35;
25;32;34;
26;34;34;
27;34;34;
28;35;34;
29;33;35;
30;34;34;
31;34;47;
32;34;34;
33;34;35;
34;33;34;
35;34;34;
36;33;34;
37;33;34;
38;34;34;
39;34;33;
40;33;34;
41;33;39;
42;34;34;
43;34;33;
44;34;34;
45;33;33;
46;34;34;
47;33;35;
48;33;34;
49;40;33;
50;33;35;
51;34;34;
52;34;34;
53;34;34;
54;35;34;
55;33;34;
56;33;34;
57;34;34;
58;34;34;
59;33;35;
60;33;33;
61;34;34;
62;33;35;
63;34;34;
64;35;34;
65;33;34;
66;33;35;
67;34;34;
68;37;46;
69;36;36;
70;41;38;
71;36;34;
72;35;36;
73;36;36;
74;37;34;
75;34;37;
76;35;35;
77;35;34;
78;35;34;
79;34;35;
80;34;35;
81;34;35;
82;35;34;
83;35;34;
84;35;33;
85;36;35;
86;35;34;
87;35;35;
88;35;34;
89;35;35;
90;41;34;
91;35;34;
92;35;34;
93;36;33;
94;35;35;
95;35;34;
96;35;34;
97;35;35;
98;35;34;
99;34;35;
100;35;34;
101;35;34;
102;34;35;
103;34;35;
104;35;34;
105;35;35;
106;34;34;
107;33;35;
108;34;34;
109;36;34;
110;35;34;
111;35;34;
112;35;35;
113;34;34;
114;34;34;
115;34;35;
116;35;34;
117;34;35;
118;34;34;
119;35;35;
120;35;34;
121;35;34;
122;33;35;
123;35;34;
124;35;34;
125;34;35;
126;34;34;
127;36;34;
128;36;41;
129;34;36;
130;34;36;
131;35;35;
132;35;34;
133;34;35;
134;35;35;
135;34;36;
136;36;34;
137;34;35;
138;34;35;
139;35;34;
140;35;34;
141;33;36;
142;34;35;
143;33;35;
144;35;34;
145;34;35;
146;34;35;
147;34;35;
148;34;35;
149;33;35;
150;34;35;
151;34;35;
152;34;34;
153;34;35;
154;34;35;
155;34;35;
156;34;35;
157;34;35;
158;34;35;
159;34;35;
160;34;34;
161;33;34;
162;35;35;
163;35;35;
164;33;36;
165;34;34;
166;33;34;
167;42;35;
168;33;45;
169;33;35;
170;35;34;
171;36;34;
172;33;35;
173;34;34;
174;34;34;
175;34;35;
176;33;35;
177;34;34;
178;34;35;
179;33;35;
180;34;34;
181;33;35;
182;34;35;
183;33;34;
184;32;35;
185;34;35;
186;34;35;
187;33;34;
188;34;34;
189;34;34;
190;33;35;
191;33;35;
192;35;35;
193;34;34;
194;34;34;
195;33;39;
196;34;35;
197;35;34;
198;34;34;
199;33;35;
200;34;35;
201;34;36;
202;33;46;
203;34;35;
204;34;34;
205;34;35;
206;34;43;
207;33;36;
208;34;35;
209;35;35;
210;33;35;
211;34;36;
212;33;35;
213;34;34;
214;33;35;
215;33;34;
216;34;35;
217;34;35;
218;33;46;
219;33;39;
220;33;47;
221;34;35;
222;34;35;
223;33;35;
224;32;34;
225;33;35;
226;33;35;
227;33;35;
228;33;36;
229;34;46;
230;33;35;
231;34;34;
232;33;34;
233;33;35;
234;33;35;
235;33;34;
236;34;35;
237;34;45;
238;33;35;
239;34;34;
240;34;34;
241;33;36;
242;33;34;
243;33;35;
244;34;35;
245;34;40;
246;33;35;
247;33;35;
248;34;35;
249;35;44;
250;33;33;
251;32;35;
252;33;35;
253;33;35;
254;33;34;
255;33;34;
256;34;34;
257;34;34;
258;34;35;
259;33;34;
260;33;35;
261;34;34;
262;33;35;
263;35;35;
264;33;35;
265;33;35;
266;34;35;
267;35;35;
268;33;35;
269;32;35;
270;35;35;
271;34;34;
272;33;35;
273;34;34;
274;34;34;
275;34;35;
276;34;35;
277;33;35;
278;33;35;
279;34;34;
280;33;34;
281;33;34;
282;33;35;
283;42;35;
284;33;35;
285;34;34;
286;34;34;
287;34;35;
288;33;35;
289;33;34;
290;34;35;
291;34;35;
292;33;34;
293;34;34;
294;33;34;
295;34;34;
296;34;34;
297;34;33;
298;35;34;
299;34;34;
300;33;35;
301;35;34;
302;34;35;
303;34;34;
304;33;46;
305;34;34;
306;33;35;
307;34;34;
308;34;36;
309;34;35;
310;34;34;
311;34;34;
312;34;34;
313;35;35;
314;33;34;
315;34;34;
316;34;46;
317;34;34;
318;33;35;
319;33;35;
320;34;34;
321;34;35;
322;43;34;
323;34;34;
324;35;34;
325;34;35;
326;34;35;
327;34;34;
328;34;34;
329;34;34;
330;33;35;
331;33;35;
332;33;45;
333;33;46;
334;32;35;
335;34;34;
336;34;34;
337;34;34;
338;34;34;
339;34;34;
340;35;35;
341;34;45;
342;34;34;
343;34;34;
344;35;34;
345;34;33;
346;34;34;
347;33;34;
348;34;35;
349;33;34;
350;35;34;
351;34;35;
352;34;33;
353;33;45;
354;34;34;
355;34;33;
356;34;35;
357;34;35;
358;33;36;
359;33;34;
360;34;34;
