Run;JS 16;WASM 16;JS 32;WASM 32;JS 64;WASM 64;JS 128;WASM 128;JS 256;WASM 256;JS 512;WASM 512;JS 768;WASM 768;JS 1024;WASM 1024;
0;7;0;9;0;10;0;4;1;10;3;27;7;53;18;98;29;
1;0;0;0;0;0;1;1;1;6;2;23;7;56;16;97;28;
2;1;0;0;0;0;0;1;1;6;2;27;7;54;15;97;32;
3;0;0;0;0;0;1;1;1;6;2;24;7;56;16;98;28;
4;0;0;1;0;0;0;2;0;6;1;26;8;53;16;98;30;
5;1;0;0;0;0;0;2;0;6;2;25;7;57;16;99;29;
6;0;0;0;1;0;0;2;0;7;1;26;7;54;16;99;30;
7;0;0;0;0;1;0;2;0;6;2;24;7;57;16;99;29;
8;0;0;0;0;1;0;2;0;6;2;26;7;54;16;99;31;
9;0;0;0;0;1;0;2;0;7;1;24;7;57;16;99;29;
10;0;0;0;0;0;0;2;0;7;1;26;8;55;16;99;30;
11;0;0;0;0;0;0;1;1;6;2;24;7;57;16;99;32;
12;0;0;1;0;2;0;5;2;14;3;26;8;55;18;98;29;
13;0;0;0;0;1;0;1;1;6;2;24;7;58;16;99;30;
14;0;0;0;0;0;0;2;1;6;2;24;7;57;16;99;29;
15;0;0;0;0;0;0;2;0;6;2;25;7;55;16;97;29;
16;0;0;0;0;1;0;1;1;6;3;25;7;54;17;97;29;
17;0;0;0;0;1;0;2;0;7;2;24;8;55;16;97;28;
18;0;0;0;0;1;0;1;1;6;2;24;7;54;16;97;29;
19;0;0;0;0;1;0;2;0;6;2;24;7;54;16;98;29;
20;0;0;0;1;2;0;4;1;10;2;25;7;55;16;99;30;
21;0;0;0;0;1;0;2;0;7;2;25;7;55;16;97;29;
22;0;1;0;0;0;0;1;1;6;2;25;8;54;17;97;29;
23;0;0;0;0;0;0;2;1;6;2;25;7;55;17;98;28;
24;0;0;0;0;0;0;1;1;6;2;25;7;55;16;98;29;
25;1;0;0;0;0;0;2;1;6;2;25;7;55;17;97;29;
26;0;0;0;0;1;0;2;0;7;1;25;8;55;16;98;29;
27;0;0;0;0;1;0;2;0;6;2;24;8;55;16;98;29;
28;0;0;0;0;1;0;2;0;6;2;25;7;55;16;97;30;
29;0;0;1;0;0;0;2;0;6;2;25;7;55;16;99;29;
30;0;0;0;0;0;1;1;1;6;2;24;7;54;16;97;32;
