Run;JS;WASM;
1;61;31;
2;59;31;
3;58;32;
4;72;31;
5;59;32;
6;55;32;
7;55;32;
8;56;32;
9;55;33;
10;45;33;
11;46;32;
12;48;31;
13;59;32;
14;45;31;
15;45;32;
16;45;32;
17;46;31;
18;46;33;
19;48;32;
20;46;32;
21;46;31;
22;45;32;
23;45;32;
24;45;33;
25;46;31;
26;46;32;
27;46;33;
28;46;32;
29;45;32;
30;46;31;
31;46;31;
32;45;33;
33;45;33;
34;45;31;
35;45;32;
36;45;32;
37;46;32;
38;45;33;
39;45;33;
40;46;32;
41;46;31;
42;48;33;
43;44;33;
44;45;33;
45;46;33;
46;45;32;
47;45;32;
48;46;32;
49;46;38;
50;47;31;
51;45;33;
52;45;32;
53;45;32;
54;46;32;
55;45;32;
56;45;33;
57;45;33;
58;45;32;
59;46;32;
60;44;33;
61;45;33;
62;45;32;
63;46;32;
64;46;31;
65;45;31;
66;46;32;
67;45;33;
68;46;31;
69;45;33;
70;44;33;
71;45;33;
72;46;32;
73;46;33;
74;45;33;
75;45;32;
76;46;32;
77;45;32;
78;45;33;
79;45;32;
80;46;32;
81;45;33;
82;46;33;
83;45;33;
84;45;32;
85;46;33;
86;44;33;
87;46;32;
88;46;32;
89;45;32;
90;46;38;
91;46;32;
92;46;33;
93;44;33;
94;47;32;
95;47;33;
96;46;33;
97;47;32;
98;46;33;
99;47;33;
100;45;32;
101;47;32;
102;47;32;
103;47;33;
104;46;35;
105;46;33;
106;46;31;
107;47;31;
108;47;33;
109;47;32;
110;45;35;
111;45;34;
112;46;31;
113;47;31;
114;47;32;
115;48;32;
116;45;34;
117;46;34;
118;45;32;
119;46;32;
120;48;31;
121;47;32;
122;47;33;
123;46;34;
124;46;32;
125;46;31;
126;48;31;
127;47;31;
128;51;32;
129;46;32;
130;45;33;
131;46;32;
132;46;31;
133;46;32;
134;46;32;
135;45;33;
136;46;33;
137;46;31;
138;47;32;
139;48;31;
140;48;33;
141;46;34;
142;45;34;
143;45;32;
144;47;32;
145;47;32;
146;47;33;
147;47;33;
148;47;32;
149;56;33;
150;46;31;
151;47;31;
152;46;32;
153;48;31;
154;47;34;
155;46;33;
156;47;31;
157;46;31;
158;47;32;
159;46;33;
160;45;33;
161;47;31;
162;46;31;
163;47;31;
164;58;31;
165;48;31;
166;45;33;
167;46;42;
168;46;32;
169;46;31;
170;46;32;
171;46;31;
172;45;32;
173;46;31;
174;45;31;
175;46;31;
176;47;31;
177;47;31;
178;46;33;
179;47;31;
180;46;31;
181;46;31;
182;48;31;
183;46;31;
184;47;32;
185;47;31;
186;46;31;
187;48;31;
188;48;32;
189;48;31;
190;46;34;
191;46;32;
192;47;31;
193;47;32;
194;47;32;
195;48;31;
196;45;33;
197;46;33;
198;45;32;
199;46;32;
200;48;32;
201;48;30;
202;46;33;
203;46;32;
204;46;31;
205;48;31;
206;56;30;
207;57;31;
208;46;31;
209;47;31;
210;47;31;
211;46;30;
212;47;31;
213;47;30;
214;48;31;
215;47;33;
216;55;33;
217;47;32;
218;46;32;
219;48;31;
220;47;32;
221;47;32;
222;46;33;
223;46;33;
224;47;30;
225;47;31;
226;47;31;
227;46;32;
228;46;32;
229;46;31;
230;46;32;
231;46;32;
232;47;31;
233;47;32;
234;46;31;
235;47;31;
236;47;31;
237;46;32;
238;49;33;
239;45;31;
240;46;31;
241;46;31;
242;46;31;
243;46;31;
244;56;30;
245;56;30;
246;46;31;
247;46;31;
248;47;30;
249;46;30;
250;47;31;
251;46;32;
252;46;31;
253;46;32;
254;45;32;
255;46;31;
256;46;31;
257;47;31;
258;45;32;
259;46;31;
260;46;31;
261;46;31;
262;45;32;
263;47;31;
264;47;30;
265;46;31;
266;47;31;
267;47;31;
268;46;31;
269;47;31;
270;47;31;
271;45;31;
272;45;32;
273;46;30;
274;45;31;
275;45;30;
276;46;32;
277;46;30;
278;46;31;
279;46;31;
280;46;32;
281;46;31;
282;47;30;
283;46;37;
284;46;32;
285;46;32;
286;46;31;
287;46;31;
288;46;31;
289;47;30;
290;47;31;
291;46;31;
292;46;31;
293;46;30;
294;46;30;
295;45;32;
296;46;32;
297;47;31;
298;47;30;
299;46;31;
300;46;30;
301;46;30;
302;47;31;
303;46;32;
304;46;31;
305;47;31;
306;45;31;
307;45;32;
308;57;30;
309;46;32;
310;46;33;
311;45;31;
312;52;31;
313;46;31;
314;46;31;
315;47;31;
316;46;31;
317;46;32;
318;46;30;
319;46;31;
320;47;32;
321;46;32;
322;46;38;
323;46;32;
324;46;32;
325;46;30;
326;48;31;
327;46;33;
328;46;32;
329;47;31;
330;46;30;
331;46;31;
332;47;32;
333;45;32;
334;46;30;
335;46;31;
336;46;31;
337;46;32;
338;46;31;
339;45;33;
340;45;31;
341;46;31;
342;46;32;
343;45;33;
344;46;31;
345;46;31;
346;46;31;
347;46;32;
348;46;31;
349;46;32;
350;46;31;
351;46;31;
352;46;32;
353;47;30;
354;46;31;
355;46;32;
356;46;31;
357;46;32;
358;45;31;
359;46;30;
360;46;32;

